id_frame,quantity,img_center
rgb_75.png,23,rgb_80.png
rgb_76.png,24,rgb_80.png
rgb_77.png,25,rgb_80.png
rgb_78.png,25,rgb_80.png
rgb_79.png,24,rgb_80.png
rgb_80.png,22,rgb_80.png
rgb_81.png,25,rgb_80.png
rgb_82.png,24,rgb_80.png
rgb_83.png,23,rgb_80.png
rgb_84.png,24,rgb_80.png
rgb_85.png,25,rgb_80.png
rgb_153.png,27,rgb_158.png
rgb_154.png,28,rgb_158.png
rgb_155.png,28,rgb_158.png
rgb_156.png,28,rgb_158.png
rgb_157.png,22,rgb_158.png
rgb_158.png,24,rgb_158.png
rgb_159.png,23,rgb_158.png
rgb_160.png,19,rgb_158.png
rgb_161.png,16,rgb_158.png
rgb_162.png,13,rgb_158.png
rgb_163.png,10,rgb_158.png
rgb_179.png,12,rgb_184.png
rgb_180.png,13,rgb_184.png
rgb_181.png,16,rgb_184.png
rgb_182.png,18,rgb_184.png
rgb_183.png,18,rgb_184.png
rgb_184.png,19,rgb_184.png
rgb_185.png,17,rgb_184.png
rgb_186.png,16,rgb_184.png
rgb_187.png,13,rgb_184.png
rgb_188.png,12,rgb_184.png
rgb_189.png,10,rgb_184.png
rgb_212.png,21,rgb_217.png
rgb_213.png,22,rgb_217.png
rgb_214.png,23,rgb_217.png
rgb_215.png,20,rgb_217.png
rgb_216.png,21,rgb_217.png
rgb_217.png,18,rgb_217.png
rgb_218.png,19,rgb_217.png
rgb_219.png,18,rgb_217.png
rgb_220.png,17,rgb_217.png
rgb_221.png,15,rgb_217.png
rgb_222.png,11,rgb_217.png
rgb_318.png,20,rgb_323.png
rgb_319.png,21,rgb_323.png
rgb_320.png,20,rgb_323.png
rgb_321.png,20,rgb_323.png
rgb_322.png,20,rgb_323.png
rgb_323.png,19,rgb_323.png
rgb_324.png,17,rgb_323.png
rgb_325.png,16,rgb_323.png
rgb_326.png,15,rgb_323.png
rgb_327.png,15,rgb_323.png
rgb_328.png,17,rgb_323.png
rgb_365.png,9,rgb_370.png
rgb_366.png,10,rgb_370.png
rgb_367.png,12,rgb_370.png
rgb_368.png,12,rgb_370.png
rgb_369.png,12,rgb_370.png
rgb_370.png,10,rgb_370.png
rgb_371.png,10,rgb_370.png
rgb_372.png,10,rgb_370.png
rgb_373.png,10,rgb_370.png
rgb_374.png,10,rgb_370.png
rgb_375.png,9,rgb_370.png
rgb_393.png,22,rgb_398.png
rgb_394.png,21,rgb_398.png
rgb_395.png,24,rgb_398.png
rgb_396.png,22,rgb_398.png
rgb_397.png,24,rgb_398.png
rgb_398.png,23,rgb_398.png
rgb_399.png,27,rgb_398.png
rgb_400.png,26,rgb_398.png
rgb_401.png,23,rgb_398.png
rgb_402.png,18,rgb_398.png
rgb_403.png,15,rgb_398.png
rgb_476.png,10,rgb_481.png
rgb_477.png,10,rgb_481.png
rgb_478.png,11,rgb_481.png
rgb_479.png,13,rgb_481.png
rgb_480.png,14,rgb_481.png
rgb_481.png,13,rgb_481.png
rgb_482.png,16,rgb_481.png
rgb_483.png,17,rgb_481.png
rgb_484.png,17,rgb_481.png
rgb_485.png,16,rgb_481.png
rgb_486.png,17,rgb_481.png
rgb_607.png,21,rgb_612.png
rgb_608.png,22,rgb_612.png
rgb_609.png,25,rgb_612.png
rgb_610.png,22,rgb_612.png
rgb_611.png,20,rgb_612.png
rgb_612.png,21,rgb_612.png
rgb_613.png,21,rgb_612.png
rgb_614.png,19,rgb_612.png
rgb_615.png,17,rgb_612.png
rgb_616.png,16,rgb_612.png
rgb_617.png,17,rgb_612.png
rgb_633.png,14,rgb_638.png
rgb_634.png,17,rgb_638.png
rgb_635.png,20,rgb_638.png
rgb_636.png,22,rgb_638.png
rgb_637.png,20,rgb_638.png
rgb_638.png,18,rgb_638.png
rgb_639.png,14,rgb_638.png
rgb_640.png,11,rgb_638.png
rgb_641.png,10,rgb_638.png
rgb_642.png,10,rgb_638.png
rgb_643.png,8,rgb_638.png
rgb_663.png,22,rgb_668.png
rgb_664.png,21,rgb_668.png
rgb_665.png,22,rgb_668.png
rgb_666.png,19,rgb_668.png
rgb_667.png,18,rgb_668.png
rgb_668.png,19,rgb_668.png
rgb_669.png,20,rgb_668.png
rgb_670.png,20,rgb_668.png
rgb_671.png,14,rgb_668.png
rgb_672.png,17,rgb_668.png
rgb_673.png,14,rgb_668.png
rgb_712.png,19,rgb_717.png
rgb_713.png,22,rgb_717.png
rgb_714.png,24,rgb_717.png
rgb_715.png,24,rgb_717.png
rgb_716.png,24,rgb_717.png
rgb_717.png,22,rgb_717.png
rgb_718.png,23,rgb_717.png
rgb_719.png,23,rgb_717.png
rgb_720.png,22,rgb_717.png
rgb_721.png,23,rgb_717.png
rgb_722.png,23,rgb_717.png
rgb_799.png,10,rgb_804.png
rgb_800.png,10,rgb_804.png
rgb_801.png,9,rgb_804.png
rgb_802.png,9,rgb_804.png
rgb_803.png,7,rgb_804.png
rgb_804.png,7,rgb_804.png
rgb_805.png,7,rgb_804.png
rgb_806.png,6,rgb_804.png
rgb_807.png,5,rgb_804.png
rgb_808.png,5,rgb_804.png
rgb_809.png,5,rgb_804.png
rgb_834.png,14,rgb_839.png
rgb_835.png,19,rgb_839.png
rgb_836.png,22,rgb_839.png
rgb_837.png,22,rgb_839.png
rgb_838.png,28,rgb_839.png
rgb_839.png,26,rgb_839.png
rgb_840.png,24,rgb_839.png
rgb_841.png,24,rgb_839.png
rgb_842.png,18,rgb_839.png
rgb_843.png,13,rgb_839.png
rgb_844.png,14,rgb_839.png
rgb_855.png,3,rgb_860.png
rgb_856.png,5,rgb_860.png
rgb_857.png,6,rgb_860.png
rgb_858.png,8,rgb_860.png
rgb_859.png,10,rgb_860.png
rgb_860.png,11,rgb_860.png
rgb_861.png,14,rgb_860.png
rgb_862.png,12,rgb_860.png
rgb_863.png,13,rgb_860.png
rgb_864.png,11,rgb_860.png
rgb_865.png,13,rgb_860.png
rgb_876.png,15,rgb_881.png
rgb_877.png,12,rgb_881.png
rgb_878.png,15,rgb_881.png
rgb_879.png,20,rgb_881.png
rgb_880.png,23,rgb_881.png
rgb_881.png,19,rgb_881.png
rgb_882.png,22,rgb_881.png
rgb_883.png,24,rgb_881.png
rgb_884.png,23,rgb_881.png
rgb_885.png,16,rgb_881.png
rgb_886.png,17,rgb_881.png
rgb_898.png,29,rgb_903.png
rgb_899.png,29,rgb_903.png
rgb_900.png,32,rgb_903.png
rgb_901.png,25,rgb_903.png
rgb_902.png,25,rgb_903.png
rgb_903.png,14,rgb_903.png
rgb_904.png,15,rgb_903.png
rgb_905.png,12,rgb_903.png
rgb_906.png,12,rgb_903.png
rgb_907.png,10,rgb_903.png
rgb_908.png,8,rgb_903.png
rgb_927.png,12,rgb_932.png
rgb_928.png,13,rgb_932.png
rgb_929.png,14,rgb_932.png
rgb_930.png,14,rgb_932.png
rgb_931.png,17,rgb_932.png
rgb_932.png,17,rgb_932.png
rgb_933.png,15,rgb_932.png
rgb_934.png,12,rgb_932.png
rgb_935.png,12,rgb_932.png
rgb_936.png,12,rgb_932.png
rgb_937.png,10,rgb_932.png
